code_snippet,smell_label
"def long_method_77():
    x_0 = 0
    x_1 = 1
    x_2 = 2
    x_3 = 3
    x_4 = 4
    x_5 = 5
    x_6 = 6
    x_7 = 7
    x_8 = 8
    x_9 = 9
    x_10 = 10
    x_11 = 11
    x_12 = 12
    x_13 = 13
    x_14 = 14
    x_15 = 15
    x_16 = 16
    x_17 = 17
    x_18 = 18
    x_19 = 19
    x_20 = 20
    x_21 = 21
    x_22 = 22
    x_23 = 23
    x_24 = 24
    x_25 = 25
    x_26 = 26
    x_27 = 27
    x_28 = 28
    x_29 = 29
    x_30 = 30
    x_31 = 31
    x_32 = 32
    x_33 = 33
    x_34 = 34
    x_35 = 35
    x_36 = 36
    x_37 = 37
    x_38 = 38
    x_39 = 39
    x_40 = 40
    x_41 = 41
    x_42 = 42
    x_43 = 43
    x_44 = 44
    x_45 = 45
    x_46 = 46
    x_47 = 47
    x_48 = 48
    x_49 = 49
    x_50 = 50
    x_51 = 51
    x_52 = 52
    x_53 = 53
    x_54 = 54
    x_55 = 55
    x_56 = 56
    x_57 = 57
    x_58 = 58
    x_59 = 59
    x_60 = 60
    x_61 = 61
    x_62 = 62
    x_63 = 63
    x_64 = 64
    x_65 = 65
    x_66 = 66
    x_67 = 67
    x_68 = 68
    x_69 = 69
    x_70 = 70
    x_71 = 71
    x_72 = 72
    x_73 = 73
    x_74 = 74
    x_75 = 75
    x_76 = 76
    x_77 = 77
    x_78 = 78
    x_79 = 79
    x_80 = 80
    x_81 = 81
    x_82 = 82
    x_83 = 83
    x_84 = 84
    x_85 = 85
    x_86 = 86
    x_87 = 87
    x_88 = 88
    x_89 = 89
    x_90 = 90
    x_91 = 91
    x_92 = 92
    x_93 = 93
    x_94 = 94
    x_95 = 95
    x_96 = 96
    x_97 = 97
    x_98 = 98
    x_99 = 99",Long_Method
"def calc_199(val):
    return val * 0.0825 # Magic tax rate",Magic_Value
"def post_19(comment):
    db.save('INSERT INTO comments VALUES (?)', comment)",Missing_Sanitization
"def calculate_area_81(radius):
    import math
    return math.pi * radius ** 2",clean_code
"class God_27:
    def m_0(self):
        return 0
    def m_1(self):
        return 1
    def m_2(self):
        return 2
    def m_3(self):
        return 3
    def m_4(self):
        return 4
    def m_5(self):
        return 5
    def m_6(self):
        return 6
    def m_7(self):
        return 7
    def m_8(self):
        return 8
    def m_9(self):
        return 9
    def m_10(self):
        return 10
    def m_11(self):
        return 11
    def m_12(self):
        return 12
    def m_13(self):
        return 13
    def m_14(self):
        return 14
    def m_15(self):
        return 15
    def m_16(self):
        return 16
    def m_17(self):
        return 17
    def m_18(self):
        return 18
    def m_19(self):
        return 19
    def m_20(self):
        return 20
    def m_21(self):
        return 21
    def m_22(self):
        return 22
    def m_23(self):
        return 23
    def m_24(self):
        return 24
    def m_25(self):
        return 25
    def m_26(self):
        return 26
    def m_27(self):
        return 27
    def m_28(self):
        return 28
    def m_29(self):
        return 29
    def m_30(self):
        return 30
    def m_31(self):
        return 31
    def m_32(self):
        return 32
    def m_33(self):
        return 33
    def m_34(self):
        return 34
    def m_35(self):
        return 35
    def m_36(self):
        return 36
    def m_37(self):
        return 37
    def m_38(self):
        return 38
    def m_39(self):
        return 39
    def m_40(self):
        return 40
    def m_41(self):
        return 41
    def m_42(self):
        return 42
    def m_43(self):
        return 43
    def m_44(self):
        return 44
    def m_45(self):
        return 45
    def m_46(self):
        return 46
    def m_47(self):
        return 47
    def m_48(self):
        return 48
    def m_49(self):
        return 49",God_Class
"def read_file_138(filename):
    with open('/tmp/' + filename, 'r') as f:
        return f.read()",Insecure_File
"def dead_85():
    return 1
    print('Never reached')",Dead_Code
"def post_136(comment):
    db.save('INSERT INTO comments VALUES (?)', comment)",Missing_Sanitization
"def division_137(a, b):
    try:
        return a/b
    except:
        pass",Improper_Error_Handling
"def long_method_76():
    x_0 = 0
    x_1 = 1
    x_2 = 2
    x_3 = 3
    x_4 = 4
    x_5 = 5
    x_6 = 6
    x_7 = 7
    x_8 = 8
    x_9 = 9
    x_10 = 10
    x_11 = 11
    x_12 = 12
    x_13 = 13
    x_14 = 14
    x_15 = 15
    x_16 = 16
    x_17 = 17
    x_18 = 18
    x_19 = 19
    x_20 = 20
    x_21 = 21
    x_22 = 22
    x_23 = 23
    x_24 = 24
    x_25 = 25
    x_26 = 26
    x_27 = 27
    x_28 = 28
    x_29 = 29
    x_30 = 30
    x_31 = 31
    x_32 = 32
    x_33 = 33
    x_34 = 34
    x_35 = 35
    x_36 = 36
    x_37 = 37
    x_38 = 38
    x_39 = 39
    x_40 = 40
    x_41 = 41
    x_42 = 42
    x_43 = 43
    x_44 = 44
    x_45 = 45
    x_46 = 46
    x_47 = 47
    x_48 = 48
    x_49 = 49
    x_50 = 50
    x_51 = 51
    x_52 = 52
    x_53 = 53
    x_54 = 54
    x_55 = 55
    x_56 = 56
    x_57 = 57
    x_58 = 58
    x_59 = 59
    x_60 = 60
    x_61 = 61
    x_62 = 62
    x_63 = 63
    x_64 = 64
    x_65 = 65
    x_66 = 66
    x_67 = 67
    x_68 = 68
    x_69 = 69
    x_70 = 70
    x_71 = 71
    x_72 = 72
    x_73 = 73
    x_74 = 74
    x_75 = 75
    x_76 = 76
    x_77 = 77
    x_78 = 78
    x_79 = 79
    x_80 = 80
    x_81 = 81
    x_82 = 82
    x_83 = 83
    x_84 = 84
    x_85 = 85
    x_86 = 86
    x_87 = 87
    x_88 = 88
    x_89 = 89
    x_90 = 90
    x_91 = 91
    x_92 = 92
    x_93 = 93
    x_94 = 94
    x_95 = 95
    x_96 = 96
    x_97 = 97
    x_98 = 98
    x_99 = 99",Long_Method
